        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
fiosExecucao =2 Intervalo=99
 tempo -> 206702 usecs
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
       10:1465571836870 TID   1 sleeping on 'cond var'
       10:1465571836870 TID   1 CPU  22(1) preempted
       10:1465571836870 TID   1 CPU  22(1) restarted on the same CPU
      209:1465571837069 TID   1 sleeping on 'cond var'
      209:1465571837069 TID   1 CPU  22(1) preempted
      209:1465571837069 TID   1 CPU  22(1) restarted on the same CPU
      209:1465571837069 TID   1 sleeping on 'cond var'
      209:1465571837069 TID   1 CPU  22(1) preempted
      209:1465571837069 TID   1 CPU  22(1) restarted on the same CPU
      209:1465571837069 TID   1 sleeping on 'cond var'
      209:1465571837069 TID   1 CPU  22(1) preempted
      209:1465571837069 TID   1 CPU  22(1) restarted on the same CPU
      209:1465571837069 TID   1 sleeping on 'shuttle'
      209:1465571837069 TID   1 CPU  22(1) preempted
      209:1465571837069 TID   1 CPU  22(1) restarted on the same CPU
      209:1465571837069 TID   1 sleeping on 'shuttle'
      209:1465571837069 TID   1 CPU  22(1) preempted
      209:1465571837069 TID   1 CPU  22(1) restarted on the same CPU
      209:1465571837069 TID   1 sleeping on 'cond var'
      209:1465571837069 TID   1 CPU  22(1) preempted
      209:1465571837069 TID   1 CPU  22(1) restarted on the same CPU
       10:0         TID   2 CPU  25(2) created
       10:1465571836870 TID   2 CPU  25(2) restarted on the same CPU
       10:1465571836870 TID   2 sleeping on 'cond var'
       10:1465571836870 TID   2 CPU  25(2) preempted
       10:1465571836870 TID   2 CPU  25(2) restarted on the same CPU
      209:1465571837069 TID   2 sleeping on 'cond var'
      209:1465571837069 TID   2 CPU  25(2) preempted
      209:1465571837069 TID   2 CPU  25(2) restarted on the same CPU
      209:1465571837069 TID   2 sleeping on 'cond var'
      209:1465571837069 TID   2 CPU  25(2) preempted
      209:1465571837069 TID   2 CPU  25(2) restarted on the same CPU

