        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
fiosExecucao =2 Intervalo=99
 tempo -> 187718 usecs
      200:1465571838110 TID   2  from-CPU 19(1) to-cpu 1(1) CPU migration
      200:1465571838110 TID   2 CPU   1(1) restarted on the same CPU
      200:1465571838110 TID   2 sleeping on 'cond var'
      200:1465571838110 TID   2 CPU   1(1) preempted
      200:1465571838110 TID   2 CPU   1(1) restarted on the same CPU
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
       10:1465571837919 TID   1 sleeping on 'cond var'
       10:1465571837919 TID   1 CPU  13(2) preempted
       10:1465571837919 TID   1 CPU  13(2) restarted on the same CPU
      200:1465571838110 TID   1 sleeping on 'cond var'
      200:1465571838110 TID   1 CPU  13(2) preempted
      200:1465571838110 TID   1 CPU  13(2) restarted on the same CPU
      200:1465571838110 TID   1 sleeping on 'cond var'
      200:1465571838110 TID   1 CPU  13(2) preempted
      200:1465571838110 TID   1 CPU  13(2) restarted on the same CPU
      200:1465571838110 TID   1 sleeping on 'cond var'
      200:1465571838110 TID   1 CPU  13(2) preempted
      200:1465571838110 TID   1 CPU  13(2) restarted on the same CPU
      200:1465571838110 TID   1 sleeping on 'shuttle'
      200:1465571838110 TID   1 CPU  13(2) preempted
      200:1465571838110 TID   1 CPU  13(2) restarted on the same CPU
      200:1465571838110 TID   1 sleeping on 'shuttle'
      200:1465571838110 TID   1 CPU  13(2) preempted
      200:1465571838110 TID   1 CPU  13(2) restarted on the same CPU
      200:1465571838110 TID   1 sleeping on 'cond var'
      200:1465571838110 TID   1 CPU  13(2) preempted
      200:1465571838110 TID   1 CPU  13(2) restarted on the same CPU
       10:0         TID   2 CPU  19(1) created
       10:1465571837919 TID   2 CPU  19(1) restarted on the same CPU
       10:1465571837919 TID   2 sleeping on 'cond var'
       10:1465571837919 TID   2 CPU  19(1) preempted
       10:1465571837919 TID   2 CPU  19(1) restarted on the same CPU
      190:1465571838100 TID   2 sleeping on 'cond var'
      200:1465571838110 TID   2 CPU  19(1) preempted

