        0:0         TID   1 CPU   6(1) created
        0:0         TID   1 CPU   6(1) created
fiosExecucao =8 Intervalo=99
 tempo -> 151037 usecs
       49:1465575404649 TID   3  from-CPU 5(1) to-cpu 1(1) CPU migration
       49:1465575404649 TID   3 CPU   1(1) restarted on the same CPU
      159:1465575404759 TID   3 sleeping on 'cond var'
      159:1465575404759 TID   3 CPU   1(1) preempted
      159:1465575404759 TID   3 CPU   1(1) restarted on the same CPU
      159:1465575404759 TID   3 sleeping on 'cond var'
      159:1465575404759 TID   3 CPU   1(1) preempted
      159:1465575404759 TID   3 CPU   1(1) restarted on the same CPU
        9:0         TID   5 CPU   4(1) created
        9:1465575404610 TID   5 CPU   4(1) restarted on the same CPU
        9:1465575404610 TID   5 sleeping on 'cond var'
        9:1465575404610 TID   5 CPU   4(1) preempted
        9:1465575404610 TID   5 CPU   4(1) restarted on the same CPU
      159:1465575404759 TID   5 sleeping on 'cond var'
      159:1465575404759 TID   5 CPU   4(1) preempted
      159:1465575404759 TID   5 CPU   4(1) restarted on the same CPU
      159:1465575404759 TID   5 sleeping on 'cond var'
      159:1465575404759 TID   5 CPU   4(1) preempted
      159:1465575404759 TID   5 CPU   4(1) restarted on the same CPU
        9:0         TID   3 CPU   5(1) created
        9:1465575404610 TID   3 CPU   5(1) restarted on the same CPU
        9:1465575404610 TID   3 sleeping on 'cond var'
        9:1465575404610 TID   3 CPU   5(1) preempted
        9:0         TID   7 CPU   5(1) created
        9:1465575404610 TID   7 CPU   5(1) restarted on the same CPU
        9:1465575404610 TID   7 sleeping on 'cond var'
        9:1465575404610 TID   7 CPU   5(1) preempted
        9:1465575404610 TID   3 CPU   5(1) restarted on the same CPU
       49:1465575404649 TID   3 CPU   5(1) preempted
        0:0         TID   1 CPU   6(1) created
        0:0         TID   1 CPU   6(1) created
        9:0         TID   1 CPU   6(1) created
        9:1465575404610 TID   1 CPU   6(1) restarted on the same CPU
        9:1465575404610 TID   1 CPU   6(1) preempted
        9:1465575404610 TID   1 CPU   6(1) restarted on the same CPU
        9:1465575404610 TID   1 sleeping on 'cond var'
        9:1465575404610 TID   1 CPU   6(1) preempted
        9:1465575404610 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'shuttle'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'shuttle'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
      159:1465575404759 TID   1 CPU   6(1) restarted on the same CPU
      159:1465575404759 TID   1 sleeping on 'cond var'
      159:1465575404759 TID   1 CPU   6(1) preempted
       49:1465575404649 TID   7  from-CPU 21(1) to-cpu 7(1) CPU migration
       49:1465575404649 TID   7 CPU   7(1) restarted on the same CPU
      159:1465575404759 TID   7 sleeping on 'cond var'
      159:1465575404759 TID   7 CPU   7(1) preempted
      159:1465575404759 TID   7 CPU   7(1) restarted on the same CPU
      159:1465575404759 TID   7 sleeping on 'cond var'
      159:1465575404759 TID   7 CPU   7(1) preempted
      159:1465575404759 TID   7 CPU   7(1) restarted on the same CPU
        9:0         TID   6 CPU  12(2) created
        9:1465575404610 TID   6 CPU  12(2) restarted on the same CPU
        9:1465575404610 TID   6 sleeping on 'cond var'
        9:1465575404610 TID   6 CPU  12(2) preempted
        9:1465575404610 TID   6 CPU  12(2) restarted on the same CPU
      159:1465575404759 TID   6 sleeping on 'cond var'
      159:1465575404759 TID   6 CPU  12(2) preempted
      159:1465575404759 TID   6 CPU  12(2) restarted on the same CPU
      159:1465575404759 TID   6 sleeping on 'cond var'
      159:1465575404759 TID   6 CPU  12(2) preempted
      159:1465575404759 TID   6 CPU  12(2) restarted on the same CPU
      159:1465575404759 TID   6 sleeping on 'cond var'
      159:1465575404759 TID   6 CPU  12(2) preempted
      159:1465575404759 TID   6 CPU  12(2) restarted on the same CPU
        9:1465575404610 TID   7  from-CPU 5(1) to-cpu 21(1) CPU migration
        9:1465575404610 TID   7 CPU  21(1) restarted on the same CPU
       49:1465575404649 TID   7 CPU  21(1) preempted
        9:0         TID   8 CPU  26(2) created
        9:1465575404610 TID   8 CPU  26(2) restarted on the same CPU
        9:1465575404610 TID   8 sleeping on 'cond var'
        9:1465575404610 TID   8 CPU  26(2) preempted
        9:1465575404610 TID   8 CPU  26(2) restarted on the same CPU
