        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
fiosExecucao =1 Intervalo=99
 tempo -> 26878 usecs
        0:0         TID   1 CPU  17(1) created
        0:0         TID   1 CPU  17(1) created
       30:1465575443939 TID   1 sleeping on 'cond var'
       30:1465575443939 TID   1 CPU  17(1) preempted
       30:1465575443939 TID   1 CPU  17(1) restarted on the same CPU
       30:1465575443939 TID   1 sleeping on 'cond var'
       30:1465575443939 TID   1 CPU  17(1) preempted
       30:1465575443939 TID   1 CPU  17(1) restarted on the same CPU
       30:1465575443939 TID   1 sleeping on 'shuttle'
       30:1465575443939 TID   1 CPU  17(1) preempted
       30:1465575443939 TID   1 CPU  17(1) restarted on the same CPU
       30:1465575443939 TID   1 sleeping on 'shuttle'
       30:1465575443939 TID   1 CPU  17(1) preempted
       30:1465575443939 TID   1 CPU  17(1) restarted on the same CPU

