        0:0         TID   1 CPU  11(2) created
        0:0         TID   1 CPU  11(2) created
        0:0         TID   1 CPU  11(2) created
fiosExecucao =1 Intervalo=99
 tempo -> 26693.4 usecs
        0:0         TID   1 CPU  11(2) created
        0:0         TID   1 CPU  11(2) created
        0:0         TID   1 CPU  11(2) created
       29:1465575444809 TID   1 sleeping on 'cond var'
       29:1465575444809 TID   1 CPU  11(2) preempted
       29:1465575444809 TID   1 CPU  11(2) restarted on the same CPU
       29:1465575444809 TID   1 sleeping on 'cond var'
       29:1465575444809 TID   1 CPU  11(2) preempted
       39:1465575444819 TID   1 CPU  11(2) restarted on the same CPU
       39:1465575444819 TID   1 sleeping on 'shuttle'
       39:1465575444819 TID   1 CPU  11(2) preempted
       39:1465575444819 TID   1 CPU  11(2) restarted on the same CPU
       39:1465575444819 TID   1 sleeping on 'shuttle'
       39:1465575444819 TID   1 CPU  11(2) preempted
       39:1465575444819 TID   1 CPU  11(2) restarted on the same CPU

