        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
fiosExecucao =2 Intervalo=99
 tempo -> 33448.2 usecs
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:0         TID   1 CPU   0(1) created
        0:1465571901060 TID   1 sleeping on 'cond var'
        0:0         TID   1 CPU   0(1) created
       29:1465571901089 TID   1 sleeping on 'cond var'
       29:1465571901089 TID   1 CPU   0(1) preempted
       29:1465571901089 TID   1 CPU   0(1) restarted on the same CPU
       39:1465571901099 TID   1 sleeping on 'cond var'
       39:1465571901099 TID   1 CPU   0(1) preempted
       39:1465571901099 TID   1 CPU   0(1) restarted on the same CPU
       39:1465571901099 TID   1 sleeping on 'cond var'
       39:1465571901099 TID   1 CPU   0(1) preempted
       39:1465571901099 TID   1 CPU   0(1) restarted on the same CPU
       39:1465571901099 TID   1 sleeping on 'shuttle'
       39:1465571901099 TID   1 CPU   0(1) preempted
       39:1465571901099 TID   1 CPU   0(1) restarted on the same CPU
       39:1465571901099 TID   1 sleeping on 'shuttle'
       39:1465571901099 TID   1 CPU   0(1) preempted
       39:1465571901099 TID   1 CPU   0(1) restarted on the same CPU
       39:1465571901099 TID   1 sleeping on 'cond var'
       39:1465571901099 TID   1 CPU   0(1) preempted
       39:1465571901099 TID   1 CPU   0(1) restarted on the same CPU
       29:1465571901089 TID   2  from-CPU 23(1) to-cpu 22(1) CPU migration
       29:1465571901089 TID   2 CPU  22(1) restarted on the same CPU
       29:1465571901089 TID   2 sleeping on 'cond var'
       29:1465571901089 TID   2 CPU  22(1) preempted
       39:1465571901099 TID   2 CPU  22(1) restarted on the same CPU
        0:0         TID   2 CPU  23(1) created
        0:1465571901060 TID   2 sleeping on 'cond var'
        0:0         TID   2 CPU  23(1) created
       29:1465571901089 TID   2 sleeping on 'cond var'
       29:1465571901089 TID   2 CPU  23(1) preempted

