        0:0         TID   1 CPU   1(1) created
        0:0         TID   1 CPU   1(1) created
fiosExecucao =2 Intervalo=99
 tempo -> 54131 usecs
        0:0         TID   1 CPU   1(1) created
        0:0         TID   1 CPU   1(1) created
        0:0         TID   1 CPU   1(1) created
        0:0         TID   1 CPU   1(1) created
       10:1465571901929 TID   1 sleeping on 'cond var'
       10:1465571901929 TID   1 CPU   1(1) preempted
       10:1465571901929 TID   1 CPU   1(1) restarted on the same CPU
       60:1465571901979 TID   1 sleeping on 'cond var'
       60:1465571901979 TID   1 CPU   1(1) preempted
       60:1465571901979 TID   1 CPU   1(1) restarted on the same CPU
       60:1465571901979 TID   1 sleeping on 'cond var'
       60:1465571901979 TID   1 CPU   1(1) preempted
       60:1465571901979 TID   1 CPU   1(1) restarted on the same CPU
       60:1465571901979 TID   1 sleeping on 'cond var'
       60:1465571901979 TID   1 CPU   1(1) preempted
       60:1465571901979 TID   1 CPU   1(1) restarted on the same CPU
       60:1465571901979 TID   1 sleeping on 'shuttle'
       60:1465571901979 TID   1 CPU   1(1) preempted
       60:1465571901979 TID   1 CPU   1(1) restarted on the same CPU
       60:1465571901979 TID   1 sleeping on 'shuttle'
       60:1465571901979 TID   1 CPU   1(1) preempted
       60:1465571901979 TID   1 CPU   1(1) restarted on the same CPU
       60:1465571901979 TID   1 sleeping on 'cond var'
       60:1465571901979 TID   1 CPU   1(1) preempted
       60:1465571901979 TID   1 CPU   1(1) restarted on the same CPU
       10:0         TID   2 CPU   8(2) created
       10:1465571901929 TID   2 CPU   8(2) restarted on the same CPU
       10:1465571901929 TID   2 sleeping on 'cond var'
       10:1465571901929 TID   2 CPU   8(2) preempted
       10:1465571901929 TID   2 CPU   8(2) restarted on the same CPU
       50:1465571901969 TID   2 sleeping on 'cond var'
       50:1465571901969 TID   2 CPU   8(2) preempted
       60:1465571901979 TID   2 CPU   8(2) restarted on the same CPU
       60:1465571901979 TID   2 sleeping on 'cond var'
       60:1465571901979 TID   2 CPU   8(2) preempted
       60:1465571901979 TID   2 CPU   8(2) restarted on the same CPU

