        0:0         TID   1 CPU   9(2) created
        0:0         TID   1 CPU   9(2) created
fiosExecucao =2 Intervalo=99
 tempo -> 49013.1 usecs
        0:0         TID   1 CPU   9(2) created
        0:0         TID   1 CPU   9(2) created
        0:0         TID   1 CPU   9(2) created
        0:0         TID   1 CPU   9(2) created
        9:1465575316160 TID   1 sleeping on 'cond var'
        9:1465575316160 TID   1 CPU   9(2) preempted
        9:1465575316160 TID   1 CPU   9(2) restarted on the same CPU
       59:1465575316209 TID   1 sleeping on 'cond var'
       59:1465575316209 TID   1 CPU   9(2) preempted
       59:1465575316209 TID   1 CPU   9(2) restarted on the same CPU
       59:1465575316209 TID   1 sleeping on 'cond var'
       59:1465575316209 TID   1 CPU   9(2) preempted
       59:1465575316209 TID   1 CPU   9(2) restarted on the same CPU
       59:1465575316209 TID   1 sleeping on 'cond var'
       59:1465575316209 TID   1 CPU   9(2) preempted
       59:1465575316209 TID   1 CPU   9(2) restarted on the same CPU
       59:1465575316209 TID   1 sleeping on 'shuttle'
       59:1465575316209 TID   1 CPU   9(2) preempted
       59:1465575316209 TID   1 CPU   9(2) restarted on the same CPU
       59:1465575316209 TID   1 sleeping on 'shuttle'
       59:1465575316209 TID   1 CPU   9(2) preempted
       59:1465575316209 TID   1 CPU   9(2) restarted on the same CPU
       59:1465575316209 TID   1 sleeping on 'cond var'
       59:1465575316209 TID   1 CPU   9(2) preempted
       59:1465575316209 TID   1 CPU   9(2) restarted on the same CPU
        9:0         TID   2 CPU  23(1) created
        9:1465575316160 TID   2 CPU  23(1) restarted on the same CPU
        9:1465575316160 TID   2 sleeping on 'cond var'
        9:1465575316160 TID   2 CPU  23(1) preempted
        9:1465575316160 TID   2 CPU  23(1) restarted on the same CPU
       49:1465575316199 TID   2 sleeping on 'cond var'
       49:1465575316199 TID   2 CPU  23(1) preempted
       59:1465575316209 TID   2 CPU  23(1) restarted on the same CPU
       59:1465575316209 TID   2 sleeping on 'cond var'
       59:1465575316209 TID   2 CPU  23(1) preempted
       59:1465575316209 TID   2 CPU  23(1) restarted on the same CPU

