        0:0         TID   1 CPU  25(2) created
        0:0         TID   1 CPU  25(2) created
        0:0         TID   1 CPU  25(2) created
        0:0         TID   1 CPU  25(2) created
fiosExecucao =4 Intervalo=99
 tempo -> 65425.5 usecs
        9:1465571781700 TID   1  from-CPU 25(2) to-cpu 9(2) CPU migration
        9:1465571781700 TID   1 CPU   9(2) restarted on the same CPU
        9:1465571781700 TID   1 sleeping on 'cond var'
        9:1465571781700 TID   1 CPU   9(2) preempted
        9:1465571781700 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'cond var'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'cond var'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'cond var'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'shuttle'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'shuttle'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'cond var'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
       69:1465571781759 TID   1 sleeping on 'cond var'
       69:1465571781759 TID   1 CPU   9(2) preempted
       69:1465571781759 TID   1 CPU   9(2) restarted on the same CPU
        9:1465571781700 TID   2  from-CPU 17(1) to-cpu 16(1) CPU migration
        9:1465571781700 TID   2 CPU  16(1) restarted on the same CPU
        9:1465571781700 TID   2 sleeping on 'cond var'
        9:1465571781700 TID   2 CPU  16(1) preempted
        9:1465571781700 TID   2 CPU  16(1) restarted on the same CPU
       69:1465571781759 TID   2 sleeping on 'cond var'
       69:1465571781759 TID   2 CPU  16(1) preempted
       69:1465571781759 TID   2 CPU  16(1) restarted on the same CPU
       69:1465571781759 TID   2 sleeping on 'cond var'
       69:1465571781759 TID   2 CPU  16(1) preempted
       69:1465571781759 TID   2 CPU  16(1) restarted on the same CPU
        9:0         TID   2 CPU  17(1) created
        9:1465571781700 TID   2 CPU  17(1) restarted on the same CPU
        9:1465571781700 TID   2 sleeping on 'cond var'
        9:1465571781700 TID   2 CPU  17(1) preempted
        9:0         TID   4 CPU  23(1) created
        9:1465571781700 TID   4 CPU  23(1) restarted on the same CPU
        9:1465571781700 TID   4 sleeping on 'cond var'
        9:1465571781700 TID   4 CPU  23(1) preempted
        9:1465571781700 TID   4 CPU  23(1) restarted on the same CPU
       69:1465571781759 TID   4 sleeping on 'cond var'
       69:1465571781759 TID   4 CPU  23(1) preempted
       69:1465571781759 TID   4 CPU  23(1) restarted on the same CPU
       69:1465571781759 TID   4 sleeping on 'cond var'
       69:1465571781759 TID   4 CPU  23(1) preempted
       69:1465571781759 TID   4 CPU  23(1) restarted on the same CPU
        9:0         TID   3 CPU  24(2) created
        9:1465571781700 TID   3 CPU  24(2) restarted on the same CPU
        9:1465571781700 TID   3 sleeping on 'cond var'
        9:1465571781700 TID   3 CPU  24(2) preempted
        9:1465571781700 TID   3 CPU  24(2) restarted on the same CPU
       69:1465571781759 TID   3 sleeping on 'cond var'
       69:1465571781759 TID   3 CPU  24(2) preempted
       69:1465571781759 TID   3 CPU  24(2) restarted on the same CPU
       69:1465571781759 TID   3 sleeping on 'cond var'
       69:1465571781759 TID   3 CPU  24(2) preempted
       69:1465571781759 TID   3 CPU  24(2) restarted on the same CPU
        0:0         TID   1 CPU  25(2) created
        0:0         TID   1 CPU  25(2) created
        9:1465571781700 TID   1 sleeping on 'cond var'
        9:1465571781700 TID   1 CPU  25(2) preempted
        9:1465571781700 TID   1 CPU  25(2) restarted on the same CPU
        9:1465571781700 TID   1 sleeping on 'cond var'
        9:1465571781700 TID   1 CPU  25(2) preempted

